model,state_key,linear_probe_accuracy,linear_probe_macro_f1,linear_probe_unknown_recall,linear_worlds_with_nonzero_unknown_recall,n_train,n_test,train_worlds,test_worlds,probe_kind,mlp_probe_accuracy,mlp_probe_macro_f1,mlp_worlds_with_nonzero_unknown_recall,precision_true,recall_true,f1_true,precision_false,recall_false,f1_false,precision_unknown,mlp_probe_unknown_recall,f1_unknown,delta_unknown_recall_mlp_minus_linear
Qwen3.5-2B,final_prompt,0.375,0.364317534642381,0.3083333333333333,19,1440,1440,20,20,mlp_shallow,0.4847222222222222,0.489074860917853,20,0.7183098591549296,0.425,0.5340314136125655,0.4304635761589404,0.5416666666666666,0.4797047970479705,0.42391304347826086,0.4875,0.45348837209302323,0.1791666666666667
Qwen3.5-2B,verdict_token,0.3888888888888889,0.3432609484587918,0.7375,20,1440,1440,20,20,mlp_shallow,0.49444444444444446,0.4742325208267066,20,0.7228915662650602,0.25,0.3715170278637771,0.5,0.49166666666666664,0.4957983193277311,0.44389027431421446,0.7416666666666667,0.5553822152886115,0.004166666666666652
Qwen3.5-2B,verdict_span_mean,0.4013888888888889,0.402638484054092,0.4041666666666667,19,1440,1440,20,20,mlp_shallow,0.4597222222222222,0.45521861655175394,20,0.5069124423963134,0.4583333333333333,0.4814004376367615,0.422680412371134,0.3416666666666667,0.3778801843317972,0.44983818770226536,0.5791666666666667,0.5063752276867031,0.17500000000000004
Qwen3.5-4B (no-think),final_prompt,0.4694444444444444,0.4423056250094159,0.2416666666666666,16,1440,1440,20,20,mlp_shallow,0.5208333333333334,0.509065331192342,20,0.5830258302583026,0.6583333333333333,0.6183953033268101,0.5214285714285715,0.30416666666666664,0.38421052631578945,0.46601941747572817,0.6,0.5245901639344263,0.3583333333333334
Qwen3.5-4B (no-think),verdict_token,0.4375,0.3897765506413247,0.1291666666666666,10,1440,1440,20,20,mlp_shallow,0.5347222222222222,0.5386476948976949,20,0.7692307692307693,0.5,0.6060606060606061,0.49122807017543857,0.4666666666666667,0.47863247863247865,0.45535714285714285,0.6375,0.53125,0.5083333333333333
Qwen3.5-4B (no-think),verdict_span_mean,0.4652777777777778,0.4197262683052082,0.2666666666666666,14,1440,1440,20,20,mlp_shallow,0.55,0.5270575088499889,20,0.6440677966101694,0.6333333333333333,0.6386554621848739,0.5882352941176471,0.25,0.3508771929824561,0.4816753926701571,0.7666666666666667,0.5916398713826366,0.5000000000000001
Gemma-3-4B-it (no-think),final_prompt,0.3930555555555555,0.3833109458694482,0.2458333333333333,18,1440,1440,20,20,mlp_shallow,0.47638888888888886,0.48042826927,20,0.6326530612244898,0.5166666666666667,0.5688073394495413,0.4157303370786517,0.4625,0.4378698224852071,0.42023346303501946,0.45,0.4346076458752515,0.20416666666666672
Gemma-3-4B-it (no-think),verdict_token,0.4597222222222222,0.457870197073559,0.5625,20,1440,1440,20,20,mlp_shallow,0.5055555555555555,0.5038501866490996,20,0.6597222222222222,0.3958333333333333,0.4947916666666667,0.45864661654135336,0.5083333333333333,0.48221343873517786,0.47419354838709676,0.6125,0.5345454545454545,0.050000000000000044
Gemma-3-4B-it (no-think),verdict_span_mean,0.4472222222222222,0.4407413778630775,0.425,20,1440,1440,20,20,mlp_shallow,0.46805555555555556,0.4704618288691436,20,0.5988372093023255,0.42916666666666664,0.5,0.4019933554817276,0.5041666666666667,0.44731977818853974,0.4574898785425101,0.4708333333333333,0.46406570841889117,0.04583333333333334
