feature,corr_with_correct,corr_with_token_count
state_cosine_min,-0.6189605050326505,0.46366630913795276
net_displacement,0.4450075099876342,-0.35074095559422586
late_curvature_mean,0.34009903995255475,-0.27329978804663596
late_step_dir_cosine_mean,-0.34009820970674554,0.27330055376261797
late_participation_ratio,0.2160588297761518,0.7075690280446422
path_length_per_token,0.21450063136022887,-0.4600519268539745
step_norm_mean,0.21450055978563792,-0.4600518161475933
displacement_ratio,-0.20673598608729973,-0.9816184186763959
state_cosine_mean,-0.19660257636119985,0.5990119048764974
late_top1_var_frac,-0.15722331826447816,0.17172547985675057
path_length_total,0.13897139770085565,0.9960413119941103
step_norm_max,0.11987465130725423,-0.07494727173799678
late_step_norm_std,0.11435239362053097,0.44330522768163266
step_dir_cosine_min,-0.10844239710579322,0.4784243501613298
curvature_max,0.1084419404160666,-0.4784241099038195
late_state_cosine_mean,-0.0867018818632048,0.02817757483244536
state_cosine_std,0.08518387492567754,-0.09184790285518378
late_top3_var_frac,-0.051667867012636176,-0.6264020977135716
step_dir_cosine_mean,0.04790239133185683,0.5826124244563399
curvature_mean,-0.047901496472450164,-0.5826144393119386
step_norm_std,-0.04158638517526421,0.13486752286147793
step_dir_cosine_std,0.03881061118552936,0.20639412510674782
late_step_norm_mean,0.025812889441793503,-0.336307767321082
extractor_confident,,
