model,accuracy_constrained,accuracy_unconstrained,macro_f1_constrained,macro_f1_unconstrained,recall_unknown_constrained,recall_unknown_unconstrained,pred_unknown_rate_constrained,pred_unknown_rate_unconstrained,delta_accuracy_constrained_minus_unconstrained,delta_macro_f1_constrained_minus_unconstrained,delta_unknown_recall_constrained_minus_unconstrained
Qwen3.5-2B,0.43472222222222223,0.4361111111111111,0.3384310265744485,0.3402981251100757,0.0,0.0,0.0,0.0,-0.001388888888888884,-0.0018670985356271652,0.0
Qwen3.5-4B,0.4777777777777778,0.4777777777777778,0.3767619047619048,0.3767619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
