n,accuracy,macro_f1,recall_true,recall_false,recall_unknown,pred_unknown_rate,model,setting,manifest
1440,0.4361111111111111,0.3402981251100757,0.8875,0.42083333333333334,0.0,0.0,Qwen3.5-2B,unconstrained,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_eval_full/manifest_complete_worlds.csv
1440,0.43472222222222223,0.3384310265744485,0.8916666666666667,0.4125,0.0,0.0,Qwen3.5-2B,constrained,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Qwen__Qwen3_5_2B_eval20_constrained/manifest.csv
1440,0.4777777777777778,0.3767619047619048,0.8958333333333334,0.5375,0.0,0.0,Qwen3.5-4B,unconstrained,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Qwen__Qwen3_5_4B_eval20_nothink/manifest.csv
1440,0.4777777777777778,0.3767619047619048,0.8958333333333334,0.5375,0.0,0.0,Qwen3.5-4B,constrained,/home/marcel/Work/topology/artifacts/micro_world_v1/generations/Qwen__Qwen3_5_4B_eval20_constrained/manifest.csv
