run,state_key,n_valid_worlds,worlds_positive_gap,positive_gap_rate,mean_diff_minus_same_crossprop,median_diff_minus_same_crossprop
qwen2b,final_prompt,19,11,0.5789473684210527,0.001273848189015602,0.001361875208439653
qwen2b,prompt_tail_mean,19,12,0.631578947368421,0.0009797940767764116,0.0009846232003635769
qwen2b,verdict_span_mean,19,10,0.5263157894736842,0.000962897488887315,2.458912354928386e-05
qwen2b,verdict_token,19,9,0.47368421052631576,0.002247875988425337,-0.0003525692003744571
gemma_it,final_prompt,20,15,0.75,0.004894693754613412,0.004373284953611882
gemma_it,prompt_tail_mean,20,12,0.6,0.0017903772286242937,0.0016105446136660088
gemma_it,verdict_span_mean,20,11,0.55,0.000987526160423404,0.0008561055831335304
gemma_it,verdict_token,20,13,0.65,0.002928699960035321,0.003764152871789765
