row_id,family,prompt_variant,decoder_accuracy,decoder_macro_f1,decoder_unknown_recall,decoder_pred_unknown_rate,decoder_parse_failure_rate,decoder_parse_failure_count,decoder_wrong_label_count,decoder_missing_unknown_count,probe_unknown_recall_verdict_token,probe_unknown_recall_verdict_span_mean,representation_decoder_gap_verdict_token,representation_decoder_gap_verdict_span_mean,constrained_decoder_accuracy,constrained_decoder_macro_f1,constrained_decoder_unknown_recall,constrained_decoder_pred_unknown_rate,constrained_decoder_parse_failure_rate,constrained_decoder_parse_failure_count,constrained_decoder_wrong_label_count,constrained_decoder_missing_unknown_count,constrained_minus_unconstrained_unknown_recall
gemma_it_raw,gemma-3-4b-it,raw_default,0.3888888888888889,0.33892089747822524,0.375,0.3527777777777778,0.0,0,880,300,0.1833333333333333,0.3416666666666667,-0.1916666666666667,-0.033333333333333326,0.3972222222222222,0.3679653073546893,0.2833333333333333,0.2722222222222222,0.0,0,868,344,-0.09166666666666667
gemma_pt_raw,gemma-3-4b-pt,raw_default,0.009722222222222222,0.01808785529715762,0.0,0.0,0.975,1404,22,480,0.5916666666666667,0.4041666666666667,0.5916666666666667,0.4041666666666667,0.3333333333333333,0.1690735404912668,0.9958333333333333,0.9972222222222222,0.0,0,960,2,0.9958333333333333
gemma_pt_basefmt,gemma-3-4b-pt,base_label,0.3458333333333333,0.20134982514865762,0.0,0.004166666666666667,0.0,0,942,480,0.3333333333333333,0.8583333333333333,0.3333333333333333,0.8583333333333333,0.3472222222222222,0.20344470344470345,0.0,0.0,0.0,0,940,480,0.0
