model,state_key,probe_accuracy,probe_macro_f1,probe_unknown_recall,worlds_with_nonzero_unknown_recall,n_eval_worlds,representation_decoder_gap_unknown
Qwen3.5-2B,final_prompt,0.375,0.364317534642381,0.3083333333333333,19,20,0.3083333333333333
Qwen3.5-2B,verdict_token,0.3888888888888889,0.3432609484587918,0.7375,20,20,0.7375
Qwen3.5-2B,verdict_span_mean,0.4013888888888889,0.402638484054092,0.4041666666666667,19,20,0.4041666666666667
Qwen3.5-4B (no-think),final_prompt,0.4694444444444444,0.4423056250094159,0.2416666666666666,16,20,0.2416666666666666
Qwen3.5-4B (no-think),verdict_token,0.4375,0.3897765506413247,0.1291666666666666,10,20,0.1291666666666666
Qwen3.5-4B (no-think),verdict_span_mean,0.4652777777777778,0.4197262683052082,0.2666666666666666,14,20,0.2666666666666666
