row_id,family,prompt_variant,mode,n,accuracy,macro_f1,unknown_recall,pred_unknown_rate,parse_failure_rate,parse_failure_count,wrong_label_count,missing_unknown_count,pred_true_count,pred_false_count,pred_unknown_count
gemma_it_raw,gemma-3-4b-it,raw_default,unconstrained,1440,0.3888888888888889,0.33892089747822524,0.375,0.3527777777777778,0.0,0,880,300,860,72,508
gemma_it_raw,gemma-3-4b-it,raw_default,constrained,1440,0.3972222222222222,0.3679653073546893,0.2833333333333333,0.2722222222222222,0.0,0,868,344,862,186,392
gemma_pt_raw,gemma-3-4b-pt,raw_default,unconstrained,1440,0.009722222222222222,0.01808785529715762,0.0,0.0,0.975,1404,22,480,36,0,0
gemma_pt_raw,gemma-3-4b-pt,raw_default,constrained,1440,0.3333333333333333,0.1690735404912668,0.9958333333333333,0.9972222222222222,0.0,0,960,2,4,0,1436
gemma_pt_basefmt,gemma-3-4b-pt,base_label,unconstrained,1440,0.3458333333333333,0.20134982514865762,0.0,0.004166666666666667,0.0,0,942,480,1390,44,6
gemma_pt_basefmt,gemma-3-4b-pt,base_label,constrained,1440,0.3472222222222222,0.20344470344470345,0.0,0.0,0.0,0,940,480,1392,48,0
